NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1464189,1918.92036597085,40
2,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1462602,1918.92036597085,40
3,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1452322,1918.92036597085,40
4,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1500761,1918.92036597085,40
5,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1477179,1918.92036597085,40
6,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1501813,1918.92036597085,40
7,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1527791,1918.92036597085,40
8,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1456501,1918.92036597085,40
9,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1494571,1918.92036597085,40
10,xalt_edges,96,40,0.05,0.05,0.05,4,1,1,1,1,0.1503742,1918.92036597085,40
1,xalt_edges,128,40,0.05,0.05,0.05,4,1,1,1,1,0.1986928,1683.26436289833,40
2,xalt_edges,128,40,0.05,0.05,0.05,4,1,1,1,1,0.2034736,1683.26436289833,40
3,xalt_edges,128,40,0.05,0.05,0.05,4,1,1,1,1,0.1992731,1683.26436289833,40
4,xalt_edges,128,40,0.05,0.05,0.05,4,1,1,1,1,0.1989939,1683.26436289833,40
